投票所,有権者数（男）,有権者数（女）,投票者数（男）,投票者数（女）
傍示集会所,193,231,75,87
庄田自治会館,305,396,145,181
大北自治会館,325,354,167,171
久保集会所,234,272,111,111
デイサービスセンター長楽,523,452,210,191
鹿畑自治会館,598,628,266,241
北コミュニティセンターセミナー室201,473,582,234,246
北田原集会所,227,254,104,109
南田原集会所,875,957,359,349
小明町自治会館,1643,1826,805,860
生駒台集会所,565,702,307,323
俵口町自治会館,2548,2816,1114,1176
生駒台小学校多目的室,1402,1621,681,693
生駒中学校相談室,1603,1841,677,729
たけまるホール研修室1,639,784,333,392
谷田自治会館,898,1033,380,410
図書会館大会議室,2186,2455,994,1065
生駒小学校英語教室,861,1086,405,428
生駒市役所2階ロビー,2746,3110,1176,1235
門前町会館,359,439,133,138
緑ヶ丘中学校多目的ホール,1640,1884,663,671
東生駒自治会館,957,1136,455,507
菜畑自治会館,1296,1407,538,577
壱分町東自治会館,1885,2092,792,795
南コミュニティセンターセミナー室202,1441,1558,710,697
やまびこホール,169,173,63,57
北小平尾自治会館,740,918,355,364
南小平尾自治会館,215,249,77,89
萩の台自治会館,309,364,164,187
鹿ノ台小学校体育館,2989,3442,1752,1837
あすか野自治会館,1912,2242,1087,1164
東生駒南自治会館,777,921,378,423
小瀬町自治会館,1045,1135,480,461
真弓小学校多目的ホール,1733,2007,1018,1045
萩の台住宅地自治会館,1412,1625,757,798
ひかりが丘集会所,726,781,393,397
上中学校多目的室,2642,2917,1350,1393
さつき台集会所,941,1100,519,575
喜里が丘自治会館,705,764,349,351
北大和自治会館,1465,1611,809,803
大瀬中学校多目的室,1256,1305,510,484
在外選挙人投票,71,71,14,17
期日前投票所,,,4654,5292
不在者投票,,,159,160
