投票所,有権者数（男）,有権者数（女）,投票者数（男）,投票者数（女）
傍示集会所,190,238,101,111
庄田自治会館,312,408,191,235
大北自治会館,326,357,199,221
久保集会所,231,274,125,141
デイサービスセンター長楽,520,451,262,224
鹿畑自治会館,596,624,343,328
北コミュニティセンターセミナー室201,466,572,285,337
北田原集会所,229,261,126,141
南田原集会所,876,961,451,463
小明町自治会館,1652,1831,970,1053
生駒台集会所,568,707,348,381
俵口町自治会館,2540,2802,1377,1444
生駒台小学校多目的室,1402,1605,809,872
生駒中学校相談室,1611,1821,851,909
たけまるホール研修室1,645,797,390,461
谷田自治会館,885,1019,469,546
図書会館大会議室,2173,2433,1189,1311
生駒小学校英語教室,865,1084,483,543
生駒市役所2階ロビー,2722,3079,1421,1554
門前町会館,355,431,160,166
緑ヶ丘中学校多目的ホール,1659,1887,843,852
東生駒自治会館,953,1122,578,660
菜畑自治会館,1293,1414,721,735
壱分町東自治会館,1877,2099,934,992
南コミュニティセンターセミナー室202,1444,1569,836,897
やまびこホール,170,177,80,78
北小平尾自治会館,731,903,430,456
南小平尾自治会館,224,250,95,111
萩の台自治会館,318,360,198,221
鹿ノ台小学校体育館,3020,3431,2058,2202
あすか野自治会館,1911,2248,1288,1404
東生駒南自治会館,781,918,453,496
小瀬町自治会館,1035,1115,569,587
真弓小学校多目的ホール,1717,2014,1162,1261
萩の台住宅地自治会館,1396,1615,865,965
ひかりが丘集会所,720,792,463,493
上中学校多目的室,2582,2855,1636,1704
さつき台集会所,920,1093,580,691
喜里が丘自治会館,709,768,423,423
北大和自治会館,1426,1578,923,1009
大瀬中学校多目的室,1181,1234,640,628
在外選挙人投票,66,62,13,11
期日前投票所,,,4475,5173
不在者投票,,,210,223
